Position,State,Member,Party,Chamber,Geography,Region,Division,MALELFP,FEMALELFP,MARRIEDRATE,TOTALHHs,MARRIEDwKIDS,COHABITwKIDS,SINGDADwKIDS,SINGMOMwKIDS,KIDSPRESENTHH,ALLFERTILITY,UNMARRFERTILITY,FERTILITYRATE,MARRIEDFERTILITY,MARRIEDwKIDSpct,Abbrev,DEM.,REP.,FIPS,DemxHouse.y,GOPxHouse.y,Note,Flip
"Congressional District 25 (118th Congress), California",California,Raul Ruiz,Democratic ,25,5001800US0625,West,Pacific,0.6011864186980651,0.5091667458561285,45.6,244943,46305,6444,3526,14792,33.9,10130,4071,59,6059,18.9,CA,0.59,0.38,6,0.56000000000000005,0.44,NA,NA
"Congressional District 26 (118th Congress), California",California,Julia Brownley,Democratic ,26,5001800US0626,West,Pacific,0.72004628271134,0.5778571125272327,49.7,242922,54875,5977,2503,9457,34.3,8808,2328,50,6480,22.6,CA,0.59,0.38,6,0.56000000000000005,0.44,NA,NA
"Congressional District 27 (118th Congress), California",California,George Whitesides,Democratic ,27,5001800US0627,West,Pacific,0.6769886896858555,0.5478995093364772,49.0,230993,58306,6168,3590,12555,40.1,9259,3089,53,6170,25.2,CA,0.59,0.38,6,0.51,0.49,New member,2024flip
"Congressional District 28 (118th Congress), California",California,Judy Chu,Democratic ,28,5001800US0628,West,Pacific,0.6813345189259589,0.5667717404521603,50.2,263644,52485,3856,2463,8978,28.7,6508,1161,38,5347,19.9,CA,0.59,0.38,6,0.65,0.35,NA,NA
"Congressional District 29 (118th Congress), California",California,Luz Maria Rivas,Democratic ,29,5001800US0629,West,Pacific,0.7389818216005318,0.6038402213704579,40.5,232319,41581,8254,3067,12385,34.5,8339,3144,43,5195,17.9,CA,0.59,0.38,6,0.7,0.3,New member,NA
"Congressional District 30 (118th Congress), California",California,Laura Friedman,Democratic ,30,5001800US0630,West,Pacific,0.735476598598897,0.6397602200652434,40.3,327480,42704,3072,2369,8488,19.0,6569,1040,33,5529,13.0,CA,0.59,0.38,6,0.68,0.32,New member,NA
"Congressional District 31 (118th Congress), California",California,Gil Cisneros,Democratic ,31,5001800US0631,West,Pacific,0.6973326944577544,0.5795407934216349,44.4,217179,42941,7413,2873,9680,36.6,7539,2949,41,4590,19.8,CA,0.59,0.38,6,0.6,0.4,New member,NA
"Congressional District 32 (118th Congress), California",California,Brad Sherman,Democratic ,32,5001800US0632,West,Pacific,0.7302866089791099,0.611986924029103,47.1,287722,54485,4518,2622,9556,27.5,7643,1843,41,5800,18.9,CA,0.59,0.38,6,0.66,0.34,NA,NA
"Congressional District 33 (118th Congress), California",California,Pete Aguilar,Democratic ,33,5001800US0633,West,Pacific,0.7058758241796356,0.5762802348979508,43.8,215880,53245,9694,3901,15505,44.9,9165,3954,46,5211,24.7,CA,0.59,0.38,6,0.59,0.41,NA,NA
"Congressional District 34 (118th Congress), California",California,Jimmy Gomez,Democratic ,34,5001800US0634,West,Pacific,0.7099895590222332,0.5817893512350774,34.9,266392,35772,10262,2971,13916,28.5,8752,3916,44,4836,13.4,CA,0.59,0.38,6,0.56000000000000005,--,NA,NA
"Congressional District 35 (118th Congress), California",California,Norma Torres,Democratic ,35,5001800US0635,West,Pacific,0.7235927692525044,0.5821741079582247,44.4,217745,52673,7973,3842,12490,42.9,10706,3977,53,6729,24.2,CA,0.59,0.38,6,0.57999999999999996,0.42,NA,NA
"Congressional District 36 (118th Congress), California",California,Ted Lieu,Democratic ,36,5001800US0636,West,Pacific,0.721346266476267,0.6076471010938267,46.1,316301,54089,2642,3197,8174,22.8,6752,832,36,5920,17.1,CA,0.59,0.38,6,0.69,0.31,NA,NA
"Congressional District 37 (118th Congress), California",California,Sydney Kamlager-Dove,Democratic ,37,5001800US0637,West,Pacific,0.7033249793380825,0.5902203546039869,33.2,252624,35850,9696,3362,15717,31.7,8846,3955,43,4891,14.2,CA,0.59,0.38,6,0.78,--,NA,NA
"Congressional District 38 (118th Congress), California",California,Linda Sánchez,Democratic ,38,5001800US0638,West,Pacific,0.6859300977306609,0.5709911868145255,47.8,223951,48416,6221,2592,8845,36.4,7202,2271,40,4931,21.6,CA,0.59,0.38,6,0.6,0.4,NA,NA
"Congressional District 39 (118th Congress), California",California,Mark Takano,Democratic ,39,5001800US0639,West,Pacific,0.7153994900491127,0.5628352334142313,44.0,201241,51371,7742,3051,12586,45.2,10223,3987,51,6236,25.5,CA,0.59,0.38,6,0.56999999999999995,0.43,NA,NA
"Congressional District 40 (118th Congress), California",California,Young Kim,Republican ,40,5001800US0640,West,Pacific,0.7295270472952705,0.5913649893151521,55.8,263521,65966,3172,2596,7090,32.6,8311,971,49,7340,25.0,CA,0.59,0.38,6,0.45,0.55000000000000004,NA,NA
"Congressional District 41 (118th Congress), California",California,Ken Calvert,Republican ,41,5001800US0641,West,Pacific,0.6517487111285716,0.5288668677294269,52.0,256638,56431,5607,2375,9533,32.8,8141,2488,48,5653,22.0,CA,0.59,0.38,6,0.48,0.52,NA,NA
"Congressional District 42 (118th Congress), California",California,Robert Garcia,Democratic ,42,5001800US0642,West,Pacific,0.7286140716403557,0.5864372482978176,38.6,244579,42673,10968,4162,14636,34.8,8702,3492,44,5210,17.4,CA,0.59,0.38,6,0.68,0.32,NA,NA
"Congressional District 43 (118th Congress), California",California,Maxine Waters,Democratic ,43,5001800US0643,West,Pacific,0.7152357359072476,0.5916090566589853,38.4,229188,42906,7968,3803,18487,39.2,11012,5502,57,5510,18.7,CA,0.59,0.38,6,0.75,0.25,NA,NA
"Congressional District 44 (118th Congress), California",California,Nanette Barragán,Democratic ,44,5001800US0644,West,Pacific,0.7051869205021776,0.5804218799344943,42.1,226066,45334,8512,3165,14464,38.7,8819,3838,46,4981,20.1,CA,0.59,0.38,6,0.71,0.28999999999999998,NA,NA
"Congressional District 45 (118th Congress), California",California,Michelle Steel,Republican ,45,5001800US0645,West,Pacific,0.6915598046896952,0.5817559307023146,50.4,234912,55242,4329,2822,9695,35.2,7872,2083,45,5789,23.5,CA,0.59,0.38,6,0.5,0.5,NA,NA
"Congressional District 46 (118th Congress), California",California,Lou Correa,Democratic ,46,5001800US0646,West,Pacific,0.7346668608268576,0.6005966555361918,43.3,210816,48885,6777,2586,11439,40.1,8630,2643,43,5987,23.2,CA,0.59,0.38,6,0.63,0.37,NA,NA
"Congressional District 47 (118th Congress), California",California,Dave Min,Democratic ,47,5001800US0647,West,Pacific,0.7232144587340856,0.5870180643814428,48.3,294920,58969,3630,2975,10227,27.5,7787,1335,42,6452,20.0,CA,0.59,0.38,6,0.51,0.49,New member,NA
"Congressional District 48 (118th Congress), California",California,Darrell Issa,Republican ,48,5001800US0648,West,Pacific,0.6913574050465607,0.5511160325560152,53.9,250619,62593,5263,3301,9795,36.3,9071,2423,53,6648,25.0,CA,0.59,0.38,6,0.41,0.59,NA,NA
"Congressional District 49 (118th Congress), California",California,Mike Levin,Democratic ,49,5001800US0649,West,Pacific,0.7448436946726571,0.5951994326541974,53.3,267088,61779,4936,3051,9882,32.2,9466,2157,56,7309,23.1,CA,0.59,0.38,6,0.52,0.48,NA,NA
"Congressional District 50 (118th Congress), California",California,Scott Peters,Democratic ,50,5001800US0650,West,Pacific,0.7349554205397609,0.6191620684245137,46.9,299075,53530,3939,3112,8723,24.7,7616,1255,41,6361,17.9,CA,0.59,0.38,6,0.64,0.36,NA,NA
"Congressional District 51 (118th Congress), California",California,Sara Jacobs,Democratic ,51,5001800US0651,West,Pacific,0.7327421889086366,0.6163685810270356,46.4,274991,56513,5531,3266,10694,30.3,10251,2126,52,8125,20.6,CA,0.59,0.38,6,0.61,0.39,NA,NA
"Congressional District 52 (118th Congress), California",California,Juan Vargas,Democratic ,52,5001800US0652,West,Pacific,0.7127233277297783,0.5922155312802455,44.9,226924,52999,6140,3365,15406,40.5,10207,3493,53,6714,23.4,CA,0.59,0.38,6,0.66,0.34,NA,NA
"Congressional District 1 (118th Congress), Colorado",Colorado,Diana DeGette,Democratic ,1,5001800US0801,West,Mountain,0.7857360480057225,0.6934057035598968,39.6,326048,46661,4549,3707,13088,23.0,9234,2596,46,6638,14.3,CO,0.54,0.43,8,0.77,0.22,NA,NA
"Congressional District 2 (118th Congress), Colorado",Colorado,Joe Neguse,Democratic ,2,5001800US0802,West,Mountain,0.7250408634512103,0.6466072597019759,47.7,290763,54372,4283,3179,8196,25.5,7121,1052,39,6069,18.7,CO,0.54,0.43,8,0.68,0.28999999999999998,NA,NA
"Congressional District 3 (118th Congress), Colorado",Colorado,Jeff Hurd,Republican ,3,5001800US0803,West,Mountain,0.6462192909248792,0.5564865960832689,50.1,292950,48166,5031,4658,12783,27.3,7357,2192,48,5165,16.4,CO,0.54,0.43,8,0.46,0.51,New member,NA
"Congressional District 4 (118th Congress), Colorado",Colorado,Lauren Boebert,Republican ,4,5001800US0804,West,Mountain,0.7446691523909346,0.627104981243879,59.6,269842,72322,4937,4139,8038,35.4,8734,1482,53,7252,26.8,CO,0.54,0.43,8,0.42,0.54,NA,NA
"Congressional District 5 (118th Congress), Colorado",Colorado,Jeff Crank,Republican ,5,5001800US0805,West,Mountain,0.7553949903660886,0.6151070646965427,52.9,273098,59948,4640,4417,11933,32.5,9329,1990,54,7339,22.0,CO,0.54,0.43,8,0.41,0.55000000000000004,New member,NA
"Congressional District 6 (118th Congress), Colorado",Colorado,Jason Crow,Democratic ,6,5001800US0806,West,Mountain,0.7650756044874921,0.6559898873377588,49.5,276617,56784,5694,4505,12833,31.6,9010,2190,51,6820,20.5,CO,0.54,0.43,8,0.59,0.38,NA,NA
"Congressional District 7 (118th Congress), Colorado",Colorado,Brittany Pettersen,Democratic ,7,5001800US0807,West,Mountain,0.6996208105418572,0.6287553938344583,52.1,296262,52414,3943,4192,8878,25.7,7038,1104,44,5934,17.7,CO,0.54,0.43,8,0.55000000000000004,0.41,NA,NA
"Congressional District 8 (118th Congress), Colorado",Colorado,Gabe Evans,Republican ,8,5001800US0808,West,Mountain,0.7735543589202126,0.6444223577250517,51.5,252464,60754,6847,4674,11740,37.2,10322,2555,57,7767,24.1,CO,0.54,0.43,8,0.48,0.49,New member,2024flip
"Congressional District 1 (118th Congress), Connecticut",Connecticut,John Larson,Democratic ,1,5001800US0901,Northeast,New England,0.7035364698452794,0.6339355569449946,45.2,292362,50037,6197,3630,17345,29.0,7347,2482,44,4865,17.1,CT,0.56,0.42,9,0.63,0.35,NA,NA
"Congressional District 2 (118th Congress), Connecticut",Connecticut,Joe Courtney,Democratic ,2,5001800US0902,Northeast,New England,0.6900141378574477,0.6058592102488402,49.6,285998,49399,6654,3472,12148,27.2,7115,1258,46,5857,17.3,CT,0.56,0.42,9,0.57999999999999996,0.42,NA,NA
"Congressional District 3 (118th Congress), Connecticut",Connecticut,Rosa L. DeLauro,Democratic ,3,5001800US0903,Northeast,New England,0.6968038801144136,0.622568365839996,44.1,285831,45289,5659,2530,15079,26.6,5908,1349,34,4559,15.8,CT,0.56,0.42,9,0.59,0.41,NA,NA
"Congressional District 4 (118th Congress), Connecticut",Connecticut,Jim Himes,Democratic ,4,5001800US0904,Northeast,New England,0.7454779534671987,0.6032793185166208,51.0,263617,61469,4728,2700,12097,32.9,8216,1788,50,6428,23.3,CT,0.56,0.42,9,0.61,0.37,NA,NA
"Congressional District 5 (118th Congress), Connecticut",Connecticut,Jahana Hayes,Democratic ,5,5001800US0905,Northeast,New England,0.7004769599021331,0.6144613274242904,47.2,281999,50928,6920,3127,16167,30.1,6797,2587,42,4210,18.1,CT,0.56,0.42,9,0.53,0.47,NA,NA
"Delegate District (at Large) (118th Congress), District of Columbia",District of Columbia,Eleanor Holmes Norton,Democratic ,(at Large),5001800US1198,South,South Atlantic,0.7431601692078273,0.6994477882609923,31.3,315785,30929,2580,2627,18047,19.6,8339,3616,42,4723,9.8,DC,0.9,0.07,11,--,--,NA,NA
"Congressional District 1 (118th Congress), Florida",Florida,Vacant,NA,1,5001800US1201,South,South Atlantic,0.6740753719218885,0.5528818638389269,49.6,300098,51868,6187,3871,14415,29.0,10125,3383,60,6742,17.3,FL,0.43,0.56,12,0.34,0.66,NA,NA
"Congressional District 2 (118th Congress), Florida",Florida,Neal Dunn,Republican ,2,5001800US1202,South,South Atlantic,0.5850445107535378,0.5609128185284811,42.2,302164,42856,6390,3418,17797,26.9,9228,3701,50,5527,14.2,FL,0.43,0.56,12,0.38,0.62,NA,NA
"Congressional District 3 (118th Congress), Florida",Florida,Kat Cammack,Republican ,3,5001800US1203,South,South Atlantic,0.5410309485909865,0.5094261227628462,43.6,295221,39774,5984,3431,12789,24.5,7560,3124,44,4436,13.5,FL,0.43,0.56,12,0.38,0.62,NA,NA
"Congressional District 4 (118th Congress), Florida",Florida,Aaron Bean,Republican ,4,5001800US1204,South,South Atlantic,0.6699163730150909,0.5829472776037662,45.8,294852,48548,7523,3560,20437,31.3,11082,5002,61,6080,16.5,FL,0.43,0.56,12,0.43,0.56999999999999995,NA,NA
"Congressional District 5 (118th Congress), Florida",Florida,John Rutherford,Republican ,5,5001800US1205,South,South Atlantic,0.730602770939186,0.586999586253589,49.9,302259,59277,5751,3658,14201,29.6,11613,3013,64,8600,19.6,FL,0.43,0.56,12,0.37,0.63,NA,NA
"Congressional District 6 (118th Congress), Florida",Florida,Michael Waltz,Republican ,6,5001800US1206,South,South Atlantic,0.5502417952705035,0.4761033997951259,49.1,322922,35995,7515,3522,13497,22.4,6189,2894,42,3295,11.1,FL,0.43,0.56,12,0.33,0.67,NA,NA
"Congressional District 7 (118th Congress), Florida",Florida,Cory Mills,Republican ,7,5001800US1207,South,South Atlantic,0.6842374500915324,0.5745178845357812,49.8,307938,53478,7446,3973,13304,28.2,7340,2013,42,5327,17.4,FL,0.43,0.56,12,0.43,0.56999999999999995,NA,NA
"Congressional District 8 (118th Congress), Florida",Florida,Mike Haridopolos,Republican ,8,5001800US1208,South,South Atlantic,0.5956248042593173,0.4983270622975805,50.0,313093,40175,5195,3016,10786,21.8,7226,2757,50,4469,12.8,FL,0.43,0.56,12,0.38,0.62,New member,NA
"Congressional District 9 (118th Congress), Florida",Florida,Darren Soto,Democratic ,9,5001800US1209,South,South Atlantic,0.7069857980473578,0.6087096313232352,46.4,244425,50656,7387,2368,14547,34.5,8234,2760,43,5474,20.7,FL,0.43,0.56,12,0.55000000000000004,0.43,NA,NA
"Congressional District 10 (118th Congress), Florida",Florida,Maxwell Alejandro Frost,Democratic ,10,5001800US1210,South,South Atlantic,0.7073077409562357,0.6193999866068439,37.5,275968,42027,7983,3416,16733,28.7,10043,4076,46,5967,15.2,FL,0.43,0.56,12,0.62,0.38,NA,NA
"Congressional District 11 (118th Congress), Florida",Florida,Daniel Webster,Republican ,11,5001800US1211,South,South Atlantic,0.5871957222554678,0.49701466971725006,55.6,292210,52095,5163,2535,10886,27.1,6361,1722,40,4639,17.8,FL,0.43,0.56,12,0.4,0.6,NA,NA
